,Niche Name,Niche City,Maps_ID,Maps_Name,Maps Address,Maps_Rating,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating,ID,County,Type,Sector,Charter,Status,Street Address,Match Score,Matched Name,Matched City
252,Eleanor Roosevelt High School,Eastvale,ChIJMS4vKhrK3IARPyvu7Ma5i4c,Eleanor Roosevelt High School,"7447 Scholar Way, Eastvale, CA 92880, USA",3.9,Eleanor Roosevelt High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33670330110627,0.98,0.7,0.47,0.42,0.34,28.0,1180.0,590.0,590.0,24.0,23.0,25.0,24.0,24.0,278,Corona-Norco Unified,Eastvale,4.05,33670330110627,Riverside,High Schools (Public),Public,No,Active,7447 Scholar Way,86.27450980392157,Eleanor Roosevelt High,Eastvale
253,Encinal Junior/Senior High School,Alameda,ChIJMbNpkh-Bj4ARzD7Usv6cSuc,Encinal Junior & Senior High School,"210 Central Ave, Alameda, CA 94501, USA",4.1,Encinal Junior/Senior High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190132142,0.93,0.65,0.39,0.66,0.31,14.0,1240.0,620.0,620.0,29.0,28.0,30.0,30.0,28.0,280,Alameda Unified,Alameda,3.78,1611190132142,Alameda,K-12 Schools (Public),Public,No,Active,210 Central Ave.,88.13559322033898,Encinal Junior/Senior High,Alameda
254,Torrance High School,Torrance,ChIJt3vN9rhK3YARtFzYPwmgEzc,Torrance High School,"2200 W Carson St, Torrance, CA 90501, USA",4.7,Torrance High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19650601938752,0.99,0.79,0.48,0.63,0.25,13.0,1220.0,620.0,610.0,28.0,27.0,28.0,28.0,27.0,281,Torrance Unified,Torrance,3.71,19650601938752,Los Angeles,High Schools (Public),Public,No,Active,2200 Carson St.,78.78787878787878,Torrance High,Torrance
255,KIPP San Jose Collegiate,San jose,ChIJ8-lCvVXMj4ARY24gbKgmC3s,KIPP San José Collegiate,"1790 Educational Park Dr, San Jose, CA 95133, USA",3.1,KIPP San Jose Collegiate,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43694270116889,0.92,0.67,0.37,,,,1200.0,610.0,590.0,25.0,25.0,25.0,24.0,25.0,282,East Side Union High,San Jose,3.71,43694270116889,Santa Clara,High Schools (Public),Public,Yes,Active,1790 Educational Park Dr.,100.0,KIPP San Jose Collegiate,San Jose
256,Pacific Law Academy,Stockton,ChIJq6qqqlZtkIARK57FprZVP8w,Pacific Law Academy High School,"1621 Brookside Rd, Stockton, CA 95207, USA",4.9,Pacific Law Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39686760124248,0.9,0.85,0.35,0.61,0.75,6.0,1100.0,550.0,550.0,,,,,,283,Stockton Unified,Stockton,4.08,39686760124248,San Joaquin,High Schools (Public),Public,Yes,Active,1621 Brookside Rd.,100.0,Pacific Law Academy,Stockton
257,Poway High School,Poway,ChIJUevuhnjw24ARRJ-9pzOFRI4,Poway High School,"15500 Espola Rd, Poway, CA 92064, USA",4.6,Poway High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37682963735867,0.96,0.67,0.48,0.6,0.36,20.0,1280.0,650.0,640.0,28.0,27.0,28.0,28.0,27.0,284,Poway Unified,Poway,4.01,37682963735867,San Diego,High Schools (Public),Public,No,Active,15500 Espola Rd.,74.07407407407408,Poway High,Poway
258,Venture (Alternative),San ramon,ChIJgXtchcXyj4ARI5JkqvssoSI,Venture School,"10540 Albion Rd, San Ramon, CA 94582, USA",4.5,Venture (Alternative),https://www.cde.ca.gov/SchoolDirectory/details?cdscode=07618040730218,0.82,0.74,0.72,,,,1230.0,600.0,630.0,,,,,,285,San Ramon Valley Unified,San Ramon,4.17,7618040730218,Contra Costa,Alternative Schools of Choice,Public,No,Active,10540 Albion Rd.,100.0,Venture (Alternative),San Ramon
259,Marina High School,Huntington beach,ChIJcbt7U-cl3YARqMpik6hHr5s,Marina High School,"15871 Springdale St, Huntington Beach, CA 92649, USA",3.6,Marina High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30665483034410,0.96,0.78,0.46,0.67,0.26,21.0,1270.0,650.0,630.0,28.0,27.0,28.0,28.0,27.0,286,Huntington Beach Union High,Huntington Beach,3.9,30665483034410,Orange,High Schools (Public),Public,No,Active,15871 Springdale St.,75.86206896551724,Marina High,Huntington Beach
260,Oak Park Independent,Oak park,ChIJrXJWzIIm6IARfN6Bl2MfbKc,Oak Park Independent School,"5801 Conifer St, Oak Park, CA 91377, USA",5.0,Oak Park Independent,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=56738745630256,0.85,0.65,0.65,,,,1300.0,630.0,660.0,27.0,24.0,30.0,28.0,25.0,288,Oak Park Unified,Oak Park,4.5,56738745630256,Ventura,Alternative Schools of Choice,Public,No,Active,5801 Conifer St.,100.0,Oak Park Independent,Oak Park
261,Ednovate - USC Hybrid High College Prep,Los angeles,ChIJo_rVmLLHwoARqXzroPt1Ook,USC Hybrid High School,"3939 S Vermont Ave, Los Angeles, CA 90037, USA",4.8,Ednovate - USC Hybrid High College Prep,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330125864,0.95,0.67,0.27,,,,1130.0,560.0,570.0,22.0,21.0,22.0,23.0,21.0,289,Los Angeles Unified,Los Angeles,4.49,19647330125864,Los Angeles,High Schools (Public),Public,Yes,Active,3939 South Vermont Ave.,100.0,Ednovate - USC Hybrid High College Prep,Los Angeles
