,Niche Name,Niche City,Maps_ID,Maps_Name,Maps Address,Maps_Rating,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating,ID,County,Type,Sector,Charter,Status,Street Address,Match Score,Matched Name,Matched City
0,California Academy of Mathematics & Science,Carson,ChIJv44FUNbKwoARj_BN6LF-lYU,California Academy of Mathematics and Science School,"1000 E Victoria St, Carson, CA 90747, USA",4.3,California Academy of Mathematics and Science,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647251995539,0.95,0.95,0.92,0.73,0.75,13.0,1340.0,680.0,660.0,31.0,30.0,31.0,31.0,30.0,1,Long Beach Unified,Carson,4.08,19647251995539,Los Angeles,High Schools (Public),Public,No,Active,"1000 East Victoria St., Bldg. SAC3 rm3117",95.45454545454545,California Academy of Mathematics and Science,Carson
1,Girls Academic Leadership Academy: Dr. Michelle King School for STEM,Los angeles,ChIJhR-7zPG4woARcTfgzXcip0s,Girls Academic Leadership Academy (GALA),"2328 St James Pl, Los Angeles, CA 90007, USA",3.8,"Girls Academic Leadership Academy, Dr. Michelle King School for Sci, Tech, Eng and Math",https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330133603,1.0,0.89,0.57,0.87,,,1260.0,610.0,640.0,30.0,28.0,30.0,30.0,30.0,2,Los Angeles Unified,Los Angeles,4.25,19647330133603,Los Angeles,K-12 Schools (Public),Public,No,Active,2328 Saint James Pl.,86.45161290322581,"Girls Academic Leadership Academy, Dr. Michelle King School for Sci, Tech, Eng and Math",Los Angeles
2,Troy High School,Fullerton,ChIJHRNwq8XV3IARi3Qi_pe6X3E,Troy High School,"2200 Dorothy Ln, Fullerton, CA 92831, USA",4.2,Troy High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30665143037496,0.99,0.85,0.73,0.92,0.67,29.0,1410.0,720.0,690.0,32.0,32.0,32.0,32.0,31.0,3,Fullerton Joint Union High,Fullerton,4.08,30665143037496,Orange,High Schools (Public),Public,No,Active,2200 East Dorothy Ln.,72.0,Troy High,Fullerton
3,Henry M. Gunn High School,Palo alto,ChIJv8p2nX-wj4ARIU6S2y07gT0,Henry M Gunn High School,"780 Arastradero Rd, Palo Alto, CA 94306, USA",3.9,Henry M. Gunn High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43696414332904,0.97,0.87,0.82,0.96,0.4,26.0,1430.0,730.0,700.0,32.0,32.0,32.0,33.0,31.0,4,Palo Alto Unified,Palo Alto,3.84,43696414332904,Santa Clara,High Schools (Public),Public,No,Active,780 Arastradero Rd.,83.72093023255813,Henry M. Gunn High,Palo Alto
4,Canyon Crest Academy,San diego,ChIJM5MFBRJF2YARusEk72kuOYA,Canyon Crest Academy,"5951 Village Center Loop Rd, San Diego, CA 92130, USA",4.4,Canyon Crest Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37683460106328,0.99,0.89,0.8,0.88,0.57,25.0,1430.0,730.0,700.0,32.0,31.0,32.0,33.0,31.0,5,San Dieguito Union High,San Diego,4.28,37683460106328,San Diego,High Schools (Public),Public,No,Active,5951 Village Center Loop Rd.,100.0,Canyon Crest Academy,San Diego
5,Orange County School of the Arts,Santa ana,ChIJUYmKwKjZ3IAR66iuNI7GWBc,Orange County School of the Arts,"1010 N Main St, Santa Ana, CA 92701, USA",4.8,Orange County Educational Arts Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30666700109066,0.98,0.89,0.73,0.81,0.54,19.0,1330.0,660.0,670.0,30.0,28.0,31.0,31.0,29.0,6,Santa Ana Unified,Santa Ana,4.19,30666700109066,Orange,Elementary Schools (Public),Public,Yes,Active,825 North Broadway,62.857142857142854,Orange County Educational Arts Academy,Santa Ana
6,California School of the Arts - San Gabriel Valley,Duarte,ChIJ5RCGnf_YwoARzD1JGg59jcw,California School of the Arts - San Gabriel Valley,"1401 Highland Ave, Duarte, CA 91010, USA",4.6,California School of the Arts - San Gabriel Valley,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19644690134858,1.0,0.84,0.46,0.73,0.52,19.0,1270.0,620.0,650.0,28.0,25.0,30.0,29.0,27.0,7,Duarte Unified,Duarte,4.71,19644690134858,Los Angeles,High Schools (Public),Public,Yes,Active,1401 Highland Ave.,100.0,California School of the Arts - San Gabriel Valley,Duarte
7,Academy of the Canyons,Santa clarita,ChIJU_5P9i-HwoARr8i8H5_O-Lc,Academy of the Canyons,"26455 Rockwell Canyon Rd, Santa Clarita, CA 91355, USA",3.3,Academy of the Canyons,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19651361996321,0.95,0.92,0.72,,,,1340.0,670.0,670.0,30.0,29.0,32.0,32.0,28.0,8,William S. Hart Union High,Santa Clarita,4.15,19651361996321,Los Angeles,High Schools (Public),Public,No,Active,26455 Rockwell Canyon Rd.,100.0,Academy of the Canyons,Santa Clarita
8,Palo Alto High School,Palo alto,ChIJ7QtCEyG7j4ARjD4nI1AAXHk,Palo Alto High School,"50 Embarcadero Rd, Palo Alto, CA 94301, USA",4.1,Palo Alto High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43696414335782,0.95,0.88,0.84,0.95,0.42,26.0,1410.0,720.0,690.0,31.0,30.0,31.0,31.0,31.0,9,Palo Alto Unified,Palo Alto,3.95,43696414335782,Santa Clara,High Schools (Public),Public,No,Active,50 Embarcadero Rd.,80.0,Palo Alto High,Palo Alto
9,Lowell High School,San francisco,ChIJLbVZeqN9j4AR_U7DEiiHSNY,Lowell High School,"1101 Eucalyptus Dr, San Francisco, CA 94132, USA",4.4,Lowell High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=38684783833407,0.99,0.96,0.85,0.94,0.55,29.0,1370.0,690.0,670.0,30.0,29.0,31.0,31.0,29.0,10,San Francisco Unified,San Francisco,3.81,38684783833407,San Francisco,High Schools (Public),Public,No,Active,1101 Eucalyptus Dr.,75.86206896551724,Lowell High,San Francisco
10,Saratoga High School,Saratoga,ChIJ6xPq-NpKjoAR4dQ8yoH2RS8,Saratoga High School,"20300 Herriman Ave, Saratoga, CA 95070, USA",4.9,Saratoga High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43695344337762,0.97,0.86,0.86,0.89,0.56,23.0,1450.0,740.0,710.0,33.0,33.0,33.0,33.0,32.0,12,Los Gatos-Saratoga Union High,Saratoga,3.9,43695344337762,Santa Clara,High Schools (Public),Public,No,Active,20300 Herriman Ave.,78.78787878787878,Saratoga High,Saratoga
11,Middle College High School,Stockton,ChIJs0IA21EMkIARuWkeZp3TV_8,Middle College High School,"5151 Pacific Ave, Stockton, CA 95207, USA",2.0,Middle College High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39685853930443,0.95,0.9,0.85,,,,1310.0,650.0,660.0,30.0,29.0,31.0,31.0,29.0,13,Lodi Unified,Stockton,3.83,39685853930443,San Joaquin,High Schools (Public),Public,No,Active,5151 Pacific Ave.,84.44444444444444,Middle College High,Stockton
12,Los Altos High School,Los altos,ChIJJSp1rOuwj4ARmqwIA_6YcY4,Los Altos High School,"201 Almond Ave, Los Altos, CA 94022, USA",3.8,Los Altos High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43696094334116,0.98,0.85,0.7,0.85,0.48,23.0,1370.0,700.0,680.0,31.0,31.0,32.0,32.0,31.0,14,Mountain View-Los Altos Union High,Los Altos,3.93,43696094334116,Santa Clara,High Schools (Public),Public,No,Active,201 Almond Ave.,80.0,Los Altos High,Los Altos
13,Early College High School,Costa mesa,ChIJ6T0PAqcg3YAR722k8LNNJ-s,Early College High School,"2990 Mesa Verde Dr E, Costa Mesa, CA 92626, USA",3.4,Early College High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30665970111666,0.9,0.9,0.75,,,,1180.0,590.0,590.0,24.0,23.0,24.0,25.0,23.0,15,Newport-Mesa Unified,Costa Mesa,3.98,30665970111666,Orange,Alternative Schools of Choice,Public,No,Active,2990 Mesa Verde Dr.,83.72093023255813,Early College High,Costa Mesa
14,Soar High (Students on Academic Rise),Lancaster,ChIJL_Yz_xZbwoAR79QU8k-HvM0,SOAR (Students on the Academic Rise) High School,"3041 W Ave K, Lancaster, CA 93536, USA",5.0,SOAR High (Students On Academic Rise),https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19642460111872,0.95,0.92,0.47,,,,1150.0,570.0,580.0,26.0,26.0,26.0,26.0,25.0,16,Antelope Valley Union High,Lancaster,4.05,19642460111872,Los Angeles,Alternative Schools of Choice,Public,No,Active,3041 West Avenue K,89.1891891891892,SOAR High (Students On Academic Rise),Lancaster
15,Palos Verdes Peninsula High School,Rolling hills estates,ChIJexFVXJdL3YARcHhZ48eO9AQ,Palos Verdes Peninsula High School,"27118 Silver Spur Rd, Rolling Hills Estates, CA 90274, USA",4.6,Palos Verdes Peninsula High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648651995588,0.99,0.82,0.74,0.87,0.48,32.0,1370.0,700.0,670.0,30.0,29.0,30.0,30.0,29.0,17,Palos Verdes Peninsula Unified,Rolling Hills Estates,4.02,19648651995588,Los Angeles,High Schools (Public),Public,No,Active,27118 Silver Spur Rd.,88.52459016393442,Palos Verdes Peninsula High,Rolling Hills Estates
16,University High School,Irvine,ChIJuZmtMeTd3IARMXIuRd67HS8,University High School,"4771 Campus Dr, Irvine, CA 92612, USA",4.1,University High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30736503035102,0.96,0.75,0.7,0.94,0.44,23.0,1410.0,720.0,690.0,31.0,30.0,32.0,32.0,31.0,18,Irvine Unified,Irvine,3.89,30736503035102,Orange,High Schools (Public),Public,No,Active,4771 Campus Dr.,81.08108108108108,University High,Irvine
17,Torrey Pines High School,San diego,ChIJHdnxXoYI3IAR3tv_idmGSyg,Torrey Pines High School,"3710 Del Mar Heights Rd, San Diego, CA 92130, USA",4.2,Torrey Pines High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37683463730033,0.97,0.74,0.53,0.89,0.51,28.0,1350.0,690.0,660.0,30.0,29.0,31.0,31.0,30.0,19,San Dieguito Union High,San Diego,4.08,37683463730033,San Diego,High Schools (Public),Public,No,Active,3710 Del Mar Heights Rd.,82.92682926829268,Torrey Pines High,San Diego
18,Westview High School,San diego,ChIJBezgQiD424ARfIDd0Ktw1DM,Westview High School,"13500 Camino Del Sur, San Diego, CA 92129, USA",4.5,Westview High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37682963731528,0.97,0.88,0.73,0.77,0.48,25.0,1350.0,690.0,670.0,31.0,30.0,31.0,31.0,30.0,20,Poway Unified,San Diego,4.04,37682963731528,San Diego,High Schools (Public),Public,No,Active,13500 Camino Del Sur,78.78787878787878,Westview High,San Diego
19,Mt. Everest Academy,San diego,ChIJQ-MAMW4A3IARkbixp2iP7-U,Mt. Everest Academy,"4350 Mt Everest Blvd, San Diego, CA 92117, USA",4.5,Mt. Everest Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37683383730751,0.9,0.87,0.77,0.55,0.6,14.0,1380.0,690.0,690.0,31.0,29.0,32.0,31.0,31.0,21,San Diego Unified,San Diego,4.3,37683383730751,San Diego,Alternative Schools of Choice,Public,No,Active,4350 Mt. Everest Blvd.,100.0,Mt. Everest Academy,San Diego
20,Riverside STEM Academy,Riverside,ChIJF44hAJCv3IARx1wuBb8E824,Riverside Stem Academy,"4466 Mt Vernon Ave, Riverside, CA 92507, USA",5.0,Riverside STEM Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33672150131359,0.9,0.87,0.82,0.68,,,1340.0,680.0,670.0,29.0,28.0,29.0,29.0,29.0,22,Riverside Unified,Riverside,4.28,33672150131359,Riverside,K-12 Schools (Public),Public,No,Active,4466 Mt.Vernon Ave.,100.0,Riverside STEM Academy,Riverside
21,Whitney High School,Cerritos,ChIJm5v7uvos3YAR9BynbzEjPTs,Gretchen Whitney High School,"16800 Shoemaker Ave, Cerritos, CA 90703, USA",3.6,Whitney (Gretchen) High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19642121931880,0.95,0.99,0.99,0.98,0.57,17.0,1420.0,730.0,700.0,32.0,32.0,33.0,32.0,31.0,23,ABC Unified,Cerritos,3.8,19642121931880,Los Angeles,High Schools (Public),Public,No,Active,16800 Shoemaker Ave.,57.14285714285714,Whitney (Gretchen) High,Cerritos
22,South Pasadena Senior High School,South pasadena,ChIJfyBFX_PEwoARp3F6b097NBs,South Pasadena High School,"1401 Fremont Ave, South Pasadena, CA 91030, USA",4.6,South Pasadena Senior High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19650291938455,0.95,0.84,0.65,0.91,0.43,14.0,1380.0,700.0,680.0,31.0,30.0,31.0,31.0,30.0,25,South Pasadena Unified,South Pasadena,3.7,19650291938455,Los Angeles,High Schools (Public),Public,No,Active,1401 Fremont Ave.,88.13559322033898,South Pasadena Senior High,South Pasadena
23,Mountain View High School,Mountain view,ChIJN-Cbb7m2j4ARaLTgeL9GcDs,Mountain View High School,"3535 Truman Ave, Mountain View, CA 94040, USA",3.4,Mountain View High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43696094334728,0.91,0.83,0.71,0.81,0.51,25.0,1370.0,690.0,680.0,31.0,30.0,31.0,31.0,30.0,26,Mountain View-Los Altos Union High,Mountain View,3.93,43696094334728,Santa Clara,High Schools (Public),Public,No,Active,3535 Truman Ave.,83.72093023255813,Mountain View High,Mountain View
24,Eunice Sato Academy of Math & Science,Long beach,ChIJFxiU0y4u3YARNVrDV4M8Hhc,Sato Academy of Mathematics and Science,"1100 Iroquois Ave, Long Beach, CA 90815, USA",4.0,Eunice Sato Academy of Math & Science,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647250132324,0.95,0.95,0.77,0.29,,,1230.0,620.0,620.0,28.0,27.0,31.0,29.0,24.0,27,Long Beach Unified,Long Beach,4.57,19647250132324,Los Angeles,High Schools (Public),Public,No,Active,1100 Iroquois Ave.,100.0,Eunice Sato Academy of Math & Science,Long Beach
25,Granada Hills Charter,Granada hills,ChIJa7iNG-eawoAREQjpooo9xxY,Granada Hills Charter,"10535 Zelzah Ave, Granada Hills, CA 91344, USA",3.6,Granada Hills Charter,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331933746,0.94,0.75,0.55,,,,1290.0,650.0,640.0,29.0,28.0,29.0,29.0,28.0,28,Los Angeles Unified,Granada Hills,4.04,19647331933746,Los Angeles,K-12 Schools (Public),Public,Yes,Active,10535 Zelzah Ave.,100.0,Granada Hills Charter,Granada Hills
26,Redwood High School,Larkspur,ChIJA5F2EGWahYARtrXVjjpLf24,Redwood High School,"395 Doherty Dr, Larkspur, CA 94939, USA",3.9,Redwood High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=21654822132587,0.99,0.83,0.67,0.88,0.45,20.0,1340.0,680.0,670.0,30.0,29.0,30.0,31.0,29.0,29,Tamalpais Union High,Larkspur,4.02,21654822132587,Marin,High Schools (Public),Public,No,Active,395 Doherty Dr.,77.41935483870968,Redwood High,Larkspur
27,La Canada High School,La canada,ChIJuVv1QWzCwoARkQux1JZNycc,La Cañada High School,"4463 Oak Grove Dr, La Cañada Flintridge, CA 91011, USA",2.8,La Canada High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19646591934611,0.99,0.89,0.81,0.9,0.52,15.0,1400.0,710.0,690.0,31.0,31.0,32.0,32.0,31.0,30,La Canada Unified,La Canada,3.69,19646591934611,Los Angeles,High Schools (Public),Public,No,Active,4463 Oak Grove Dr.,80.0,La Canada High,La Canada
28,Helix Charter High School,La mesa,ChIJn4ZOLNhW2YARQZqjKeKFbqY,Helix Charter High School,"4200 Lowell St, La Mesa, CA 91941, USA",4.3,Helix High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37681303732732,0.98,0.83,0.57,0.78,0.13,10.0,1200.0,610.0,590.0,26.0,25.0,27.0,26.0,25.0,31,Grossmont Union High,La Mesa,4.27,37681303732732,San Diego,High Schools (Public),Public,Yes,Active,7323 University Ave.,57.14285714285714,Helix High,La Mesa
29,Del Norte High School,San diego,ChIJoX0iNeyh24ARK1oHU_Uuv1k,Del Norte High School,"16601 Nighthawk Ln, San Diego, CA 92127, USA",4.3,Del Norte High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37682960118935,0.97,0.84,0.76,0.78,0.51,21.0,1360.0,690.0,670.0,31.0,30.0,32.0,31.0,30.0,32,Poway Unified,San Diego,4.06,37682960118935,San Diego,High Schools (Public),Public,No,Active,16601 Nighthawk Ln.,80.0,Del Norte High,San Diego
30,Oxford Academy,Cypress,ChIJlWB-mZgu3YAR7Hmj78wiYfg,Oxford Academy,"5172 Orange Ave, Cypress, CA 90630, USA",3.7,Oxford Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30664313030616,0.95,0.98,0.95,,,,1400.0,710.0,690.0,32.0,31.0,32.0,33.0,31.0,33,Anaheim Union High,Cypress,3.65,30664313030616,Orange,High Schools (Public),Public,No,Active,5172 Orange Ave.,100.0,Oxford Academy,Cypress
31,Rancho Learning Center,Arcadia,ChIJ00TEtd7bwoAR_vZROG-kEZ0,Rancho High School Independent Study Program,"150 S 3rd Ave, Arcadia, CA 91006, USA",3.0,Rancho Learning Center (Alternative),https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19642611995299,0.85,0.67,0.57,,,,,,,,,,,,34,Arcadia Unified,Arcadia,3.33,19642611995299,Los Angeles,Alternative Schools of Choice,Public,No,Active,150 South Third Ave.,75.86206896551724,Rancho Learning Center (Alternative),Arcadia
32,Cupertino High School,Cupertino,ChIJOfgIZH-2j4ARfN8hMUB-lUM,Cupertino High School,"10100 Finch Ave, Cupertino, CA 95014, USA",3.9,Cupertino High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43694684331799,0.97,0.86,0.77,0.95,0.4,18.0,1410.0,730.0,680.0,32.0,32.0,32.0,32.0,31.0,36,Fremont Union High,Cupertino,3.82,43694684331799,Santa Clara,High Schools (Public),Public,No,Active,10100 Finch Ave.,80.0,Cupertino High,Cupertino
33,Northwood High School,Irvine,ChIJG2aYNqbc3IAR4k5YGnrCwXE,Northwood High School,"4515 Portola Pkwy, Irvine, CA 92620, USA",4.3,Northwood High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30736503030657,0.97,0.87,0.73,0.93,0.35,15.0,1400.0,710.0,680.0,32.0,31.0,32.0,32.0,31.0,37,Irvine Unified,Irvine,4.03,30736503030657,Orange,High Schools (Public),Public,No,Active,4515 Portola Pkwy.,80.0,Northwood High,Irvine
34,Piedmont High School,Piedmont,ChIJk-fr0fB9hYARjy5mSFL1hSc,Piedmont High School,"800 Magnolia Ave, Piedmont, CA 94611, USA",4.5,Piedmont High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612750136515,0.97,0.82,0.72,0.81,0.49,16.0,1370.0,690.0,680.0,31.0,30.0,32.0,32.0,31.0,38,Piedmont City Unified,Piedmont,3.75,1612750136515,Alameda,High Schools (Public),Public,No,Active,800 Magnolia Ave.,78.78787878787878,Piedmont High,Piedmont
35,Campolindo High School,Moraga,ChIJ8VTCPnxihYARalOYNmiooVw,Campolindo High School,"300 Moraga Rd, Moraga, CA 94556, USA",4.6,Campolindo High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=07616300731125,0.99,0.87,0.7,0.87,0.47,19.0,1370.0,680.0,690.0,31.0,29.0,31.0,31.0,30.0,39,Acalanes Union High,Moraga,4.01,7616300731125,Contra Costa,High Schools (Public),Public,No,Active,300 Moraga Rd.,81.08108108108108,Campolindo High,Moraga
36,Arcadia High School,Arcadia,ChIJFSsUf8_bwoAROOUk97e7RK0,Arcadia High School,"180 Campus Dr, Arcadia, CA 91006, USA",4.4,Arcadia High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19642611930288,0.98,0.7,0.63,0.87,0.41,19.0,1380.0,700.0,670.0,31.0,31.0,31.0,32.0,30.0,40,Arcadia Unified,Arcadia,3.81,19642611930288,Los Angeles,High Schools (Public),Public,No,Active,180 Campus Dr.,77.41935483870968,Arcadia High,Arcadia
37,Lynbrook High School,San jose,ChIJ49n1O0O1j4AREDw8iHZil3w,Lynbrook High School,"1280 Johnson Ave, San Jose, CA 95129, USA",4.0,Lynbrook High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43694684334421,0.97,0.95,0.94,0.94,0.44,17.0,1460.0,750.0,710.0,33.0,33.0,33.0,33.0,33.0,41,Fremont Union High,San Jose,3.79,43694684334421,Santa Clara,High Schools (Public),Public,No,Active,1280 Johnson Ave.,78.78787878787878,Lynbrook High,San Jose
38,Da Vinci Science,El segundo,ChIJ33Tjj6O2woARlp_jiK3u2CE,Da Vinci Schools,"201 N Douglas St, El Segundo, CA 90245, USA",3.5,Da Vinci Science,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19768690119016,0.95,0.87,0.62,,,,1180.0,590.0,590.0,25.0,24.0,26.0,26.0,24.0,42,Wiseburn Unified,El Segundo,4.07,19768690119016,Los Angeles,High Schools (Public),Public,Yes,Active,201 N. Douglas St.,100.0,Da Vinci Science,El Segundo
39,Amador Valley High School,Pleasanton,ChIJaWyC16Dpj4ARhPpCje3ZtlY,Amador Valley High School,"1155 Santa Rita Rd, Pleasanton, CA 94566, USA",4.1,Amador Valley High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01751010130583,0.97,0.81,0.7,0.93,0.42,22.0,1390.0,710.0,680.0,31.0,30.0,31.0,31.0,30.0,43,Pleasanton Unified,Pleasanton,4.08,1751010130583,Alameda,High Schools (Public),Public,No,Active,1155 Santa Rita Rd.,83.72093023255813,Amador Valley High,Pleasanton
40,Downtown Magnets High School,Los angeles,ChIJYwNx6FTGwoARlhZUzndwO2A,Downtown Magnets High School,"1200 Colton St, Los Angeles, CA 90026, USA",4.5,Downtown Business High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331932888,0.99,0.87,0.57,0.57,0.5,23.0,1160.0,590.0,570.0,26.0,26.0,26.0,26.0,25.0,44,Los Angeles Unified,Los Angeles,3.88,19647331932888,Los Angeles,Alternative Schools of Choice,Public,No,Active,1200 West Colton St.,68.0,Downtown Business High,Los Angeles
41,West Ranch High School,Valencia,ChIJbT_xusaAwoARGKVLysb7-ic,West Ranch High School,"26255 Valencia Blvd, Stevenson Ranch, CA 91381, USA",4.0,West Ranch High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19651360102475,0.98,0.85,0.56,0.71,0.49,23.0,1320.0,660.0,650.0,30.0,29.0,31.0,31.0,29.0,45,William S. Hart Union High,Valencia,3.85,19651360102475,Los Angeles,High Schools (Public),Public,No,Active,26255 West Valencia Blvd.,81.08108108108108,West Ranch High,Valencia
42,Harbor Teacher Preparation Academy,Wilmington,ChIJOeCJG-813YARAQWimdtieVw,Harbor Teacher Prep Academy - LAUSD,"Wilmington, CA 90744, USA",4.8,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330102921,0.95,0.95,0.77,0.52,0.54,10.0,1210.0,600.0,610.0,26.0,26.0,26.0,25.0,24.0,46,Los Angeles Unified,Wilmington,3.78,19647330102921,Los Angeles,High Schools (Public),Public,No,Active,1111 Figueroa Pl.,73.91304347826086,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Wilmington
43,Aragon High School,San mateo,ChIJeW14lUGej4ARMj39fFMOZNI,Aragon High School,"Theater, 900 Alameda de las Pulgas, San Mateo, CA 94402, USA",3.7,Aragon High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=41690474130217,0.96,0.86,0.63,0.83,0.33,20.0,1340.0,680.0,670.0,31.0,30.0,32.0,32.0,31.0,47,San Mateo Union High,San Mateo,3.99,41690474130217,San Mateo,High Schools (Public),Public,No,Active,900 Alameda de las Pulgas,75.86206896551724,Aragon High,San Mateo
44,Arnold O. Beckman High School,Irvine,ChIJw5CZj4jc3IARyZMgPp7gjq4,Arnold O. Beckman High School,"3588 Bryan Ave, Irvine, CA 92602, USA",4.2,Arnold O. Beckman High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30736430102871,0.96,0.8,0.59,0.83,0.45,24.0,1350.0,690.0,660.0,31.0,30.0,31.0,32.0,30.0,48,Tustin Unified,Irvine,3.88,30736430102871,Orange,High Schools (Public),Public,No,Active,3588 Bryan Ave.,86.27450980392157,Arnold O. Beckman High,Irvine
45,Foothill High School,Pleasanton,ChIJGUcCasHrj4ART8hmvUpPsdw,Foothill High School,"4375 Foothill Rd, Pleasanton, CA 94588, USA",4.0,Foothill High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01751010130096,0.98,0.83,0.73,0.83,0.42,27.0,1380.0,700.0,680.0,31.0,30.0,31.0,31.0,30.0,49,Pleasanton Unified,Pleasanton,3.86,1751010130096,Alameda,High Schools (Public),Public,No,Active,4375 Foothill Rd.,78.78787878787878,Foothill High,Pleasanton
46,University Preparatory Academy Charter School,San jose,ChIJ-SbjPwwzjoARk-RK5hUtl74,University Preparatory Academy,"2315 Canoas Garden Ave, San Jose, CA 95125, USA",3.1,University Preparatory Academy Charter,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43104390113431,0.95,0.75,0.58,0.81,0.53,,1340.0,680.0,660.0,31.0,31.0,31.0,31.0,30.0,50,Santa Clara County Office of Education,San Jose,3.82,43104390113431,Santa Clara,High Schools (Public),Public,Yes,Active,2315 Canoas Garden Ave.,91.56626506024097,University Preparatory Academy Charter,San Jose
47,The Preuss School UC San Diego,La jolla,ChIJ-cZwHscG3IARZRKePqjA-SE,Preuss School UCSD,"9600 Campus Point Dr, La Jolla, CA 92037, USA",5.0,Preuss School UCSD,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37683383731189,0.92,0.61,0.38,0.51,0.78,,1180.0,590.0,590.0,23.0,22.0,23.0,23.0,22.0,51,San Diego Unified,La Jolla,4.16,37683383731189,San Diego,K-12 Schools (Public),Public,Yes,Active,9500 Gilman Dr.,75.0,Preuss School UCSD,La Jolla
48,Sage Creek High School,Carlsbad,ChIJYZ21O5dz3IARD0B5a8nvgYo,Sage Creek High School,"3900 Bobcat Blvd, Carlsbad, CA 92010, USA",3.7,Sage Creek High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37735510127423,0.98,0.88,0.56,0.68,0.42,13.0,1330.0,670.0,660.0,30.0,29.0,30.0,30.0,29.0,52,Carlsbad Unified,Carlsbad,4.38,37735510127423,San Diego,High Schools (Public),Public,No,Active,3900 Bobcat Blvd.,81.08108108108108,Sage Creek High,Carlsbad
49,Miramonte High School,Orinda,ChIJ_zFySzmIj4ARgrjtsNu6z5Y,Miramonte High School,"750 Moraga Way, Orinda, CA 94563, USA",4.5,Miramonte High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=07616300734244,0.99,0.8,0.72,0.92,0.46,15.0,1370.0,680.0,680.0,31.0,30.0,32.0,32.0,30.0,53,Acalanes Union High,Orinda,3.95,7616300734244,Contra Costa,High Schools (Public),Public,No,Active,750 Moraga Way,80.0,Miramonte High,Orinda
